grid_ID	player_start_pos	player_loc	player_speed	ghosts_locs	dots_locs	ghosts_dists_from_player	dots_dists_from_player	cum_ghosts_dist	closest_ghost_dist	closest_dot_dist	salience_period	ghosts_chase_level	ghosts_speed	player_direction_facing	bonus	health	trial_end_reason	cum_run_time	round_cum_run_time	ITI_length
G	(36, 36)	(54, 34)	3	[(216, 372), (504, 276)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[500, 692]	[596, 704, 308, 164, 740, 884, 560, 848, 848, 740, 308, 1028, 884, 992, 1136]	1192	500	164	threat	90	3	right	0.0	96.8	N/A	6.515	7	3
G	(36, 36)	(99, 34)	3	[(216, 417), (504, 231)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[500, 602]	[551, 659, 263, 209, 695, 839, 515, 803, 803, 695, 353, 983, 839, 947, 1091]	1102	500	209	threat	90	3	right	0.0	93.8	N/A	7.01	7	3
G	(36, 36)	(144, 34)	3	[(216, 402), (504, 186)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[440, 512]	[506, 614, 218, 254, 650, 794, 470, 758, 758, 650, 398, 938, 794, 902, 1046]	952	440	218	threat	90	3	right	0.0	90.8	N/A	7.509	8	3
G	(36, 36)	(189, 34)	3	[(216, 357), (504, 232)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[350, 513]	[461, 569, 173, 299, 605, 749, 425, 713, 713, 605, 443, 893, 749, 857, 1001]	863	350	173	threat	90	3	right	0.0	87.8	N/A	8.005	8	3
G	(36, 36)	(234, 34)	3	[(216, 308), (504, 292)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[292, 528]	[416, 560, 164, 344, 560, 704, 416, 668, 668, 560, 488, 848, 704, 812, 956]	820	292	164	threat	90	4	right	0.0	84.8	N/A	8.503	9	3
G	(36, 36)	(279, 34)	3	[(216, 248), (476, 324)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[277, 487]	[371, 605, 209, 389, 515, 659, 461, 623, 623, 515, 533, 803, 659, 767, 911]	764	277	209	threat	90	4	right	0.0	81.8	N/A	8.998	9	3
G	(36, 36)	(324, 34)	3	[(216, 188), (416, 324)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[262, 382]	[326, 650, 254, 434, 470, 614, 506, 578, 578, 470, 578, 758, 614, 722, 866]	644	262	254	threat	90	4	right	0.0	78.8	N/A	9.497	9	3
G	(36, 36)	(358, 46)	3	[(164, 180), (360, 322)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[328, 278]	[280, 672, 276, 456, 424, 568, 528, 532, 532, 424, 600, 712, 568, 676, 820]	606	278	276	threat	90	4	down	0.0	75.8	N/A	9.993	10	3
G	(36, 36)	(358, 76)	3	[(100, 180), (360, 290)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[362, 216]	[250, 642, 246, 426, 394, 538, 498, 502, 502, 394, 570, 682, 538, 646, 790]	578	216	246	threat	90	4	up	0.0	72.6	N/A	10.524	11	3
G	(36, 36)	(367, 34)	3	[(40, 180), (360, 260)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[473, 233]	[297, 693, 297, 477, 427, 571, 549, 535, 549, 427, 621, 715, 571, 679, 823]	706	233	297	threat	90	4	right	0.0	69.6	N/A	11.021	11	3
G	(36, 36)	(412, 34)	3	[(36, 124), (360, 230)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[466, 248]	[342, 738, 342, 522, 382, 526, 594, 490, 594, 382, 666, 670, 526, 634, 778]	714	248	342	threat	90	4	right	0.0	66.6	N/A	11.517	12	3
G	(36, 36)	(457, 34)	3	[(36, 64), (360, 200)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[451, 263]	[387, 783, 387, 567, 337, 481, 639, 445, 639, 337, 711, 625, 481, 589, 733]	714	263	337	threat	90	4	right	0.0	63.6	N/A	12.013	12	3
G	(36, 36)	(502, 34)	3	[(60, 36), (360, 170)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[444, 278]	[432, 828, 432, 612, 292, 436, 684, 400, 684, 292, 756, 580, 436, 544, 688]	722	278	292	threat	90	3	right	0.0	60.6	N/A	12.51	13	3
G	(36, 36)	(547, 34)	3	[(105, 36), (360, 140)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[444, 293]	[477, 873, 477, 657, 333, 391, 729, 441, 729, 247, 801, 535, 391, 499, 643]	737	293	247	threat	90	3	right	0.0	57.6	N/A	13.005	13	3
G	(36, 36)	(592, 34)	3	[(150, 36), (360, 110)]	[(360, 324), (216, 576), (216, 180), (36, 180), (504, 324), (792, 180), (216, 432), (504, 432), (360, 576), (648, 180), (36, 324), (792, 324), (648, 324), (648, 432), (792, 432)]	[444, 308]	[522, 918, 522, 702, 378, 346, 774, 486, 774, 202, 846, 490, 346, 454, 598]	752	308	202	threat	90	3	right	0.0	54.6	N/A	13.502	14	3
